"trainer/global_step","for-instance - _step","for-instance - _step__MIN","for-instance - _step__MAX","for-instance - val/total/m_iou","for-instance - val/total/m_iou__MIN","for-instance - val/total/m_iou__MAX"
"13","38","38","38","0.055138904601335526","0.055138904601335526","0.055138904601335526"
"27","77","77","77","0.055656444281339645","0.055656444281339645","0.055656444281339645"
"41","116","116","116","0.27110186219215393","0.27110186219215393","0.27110186219215393"
"55","155","155","155","0.2424677312374115","0.2424677312374115","0.2424677312374115"
"69","194","194","194","0.36054736375808716","0.36054736375808716","0.36054736375808716"
"83","233","233","233","0.35585883259773254","0.35585883259773254","0.35585883259773254"
"97","272","272","272","0.35382434725761414","0.35382434725761414","0.35382434725761414"
"111","311","311","311","0.2829572558403015","0.2829572558403015","0.2829572558403015"
"125","350","350","350","0.29936784505844116","0.29936784505844116","0.29936784505844116"
"139","389","389","389","0.24391107261180878","0.24391107261180878","0.24391107261180878"
"153","428","428","428","0.35357508063316345","0.35357508063316345","0.35357508063316345"
"167","467","467","467","0.36155420541763306","0.36155420541763306","0.36155420541763306"
"181","506","506","506","0.3654625415802002","0.3654625415802002","0.3654625415802002"
"195","545","545","545","0.40713977813720703","0.40713977813720703","0.40713977813720703"
"209","584","584","584","0.38062426447868347","0.38062426447868347","0.38062426447868347"
"223","623","623","623","0.38138288259506226","0.38138288259506226","0.38138288259506226"
"237","662","662","662","0.3594791889190674","0.3594791889190674","0.3594791889190674"
"251","701","701","701","0.3153814971446991","0.3153814971446991","0.3153814971446991"
"265","740","740","740","0.36026784777641296","0.36026784777641296","0.36026784777641296"
"279","779","779","779","0.3566478192806244","0.3566478192806244","0.3566478192806244"
"293","818","818","818","0.41172918677330017","0.41172918677330017","0.41172918677330017"
"307","857","857","857","0.36492040753364563","0.36492040753364563","0.36492040753364563"
"321","896","896","896","0.37668585777282715","0.37668585777282715","0.37668585777282715"
"335","935","935","935","0.2722967565059662","0.2722967565059662","0.2722967565059662"
"349","974","974","974","0.41560497879981995","0.41560497879981995","0.41560497879981995"
"363","1013","1013","1013","0.37083733081817627","0.37083733081817627","0.37083733081817627"
"377","1052","1052","1052","0.40523773431777954","0.40523773431777954","0.40523773431777954"
"391","1091","1091","1091","0.3583027720451355","0.3583027720451355","0.3583027720451355"
"405","1130","1130","1130","0.3591298460960388","0.3591298460960388","0.3591298460960388"
"419","1169","1169","1169","0.4373716413974762","0.4373716413974762","0.4373716413974762"
"433","1208","1208","1208","0.35297510027885437","0.35297510027885437","0.35297510027885437"
"447","1247","1247","1247","0.35434022545814514","0.35434022545814514","0.35434022545814514"
"461","1286","1286","1286","0.35243502259254456","0.35243502259254456","0.35243502259254456"
"475","1325","1325","1325","0.40420904755592346","0.40420904755592346","0.40420904755592346"
"489","1364","1364","1364","0.4018736779689789","0.4018736779689789","0.4018736779689789"
"503","1403","1403","1403","0.37230926752090454","0.37230926752090454","0.37230926752090454"
"517","1442","1442","1442","0.37528663873672485","0.37528663873672485","0.37528663873672485"
"531","1481","1481","1481","0.3426097333431244","0.3426097333431244","0.3426097333431244"
"545","1520","1520","1520","0.37099283933639526","0.37099283933639526","0.37099283933639526"
"559","1559","1559","1559","0.39571404457092285","0.39571404457092285","0.39571404457092285"
"573","1598","1598","1598","0.40012359619140625","0.40012359619140625","0.40012359619140625"
"587","1637","1637","1637","0.4155661463737488","0.4155661463737488","0.4155661463737488"
"601","1676","1676","1676","0.36228716373443604","0.36228716373443604","0.36228716373443604"
"615","1715","1715","1715","0.38553959131240845","0.38553959131240845","0.38553959131240845"
"629","1754","1754","1754","0.42974305152893066","0.42974305152893066","0.42974305152893066"
"643","1793","1793","1793","0.44102782011032104","0.44102782011032104","0.44102782011032104"
"657","1832","1832","1832","0.44965511560440063","0.44965511560440063","0.44965511560440063"
"671","1871","1871","1871","0.44392967224121094","0.44392967224121094","0.44392967224121094"
"685","1910","1910","1910","0.3998924791812897","0.3998924791812897","0.3998924791812897"
"699","1949","1949","1949","0.3971312642097473","0.3971312642097473","0.3971312642097473"
"713","1988","1988","1988","0.4105028212070465","0.4105028212070465","0.4105028212070465"
"727","2027","2027","2027","0.4379653036594391","0.4379653036594391","0.4379653036594391"
"741","2066","2066","2066","0.46398037672042847","0.46398037672042847","0.46398037672042847"
"755","2105","2105","2105","0.43007010221481323","0.43007010221481323","0.43007010221481323"
"769","2144","2144","2144","0.4315878748893738","0.4315878748893738","0.4315878748893738"
"783","2183","2183","2183","0.37743622064590454","0.37743622064590454","0.37743622064590454"
"797","2222","2222","2222","0.40090399980545044","0.40090399980545044","0.40090399980545044"
"811","2261","2261","2261","0.46416202187538147","0.46416202187538147","0.46416202187538147"
"825","2300","2300","2300","0.4634806215763092","0.4634806215763092","0.4634806215763092"
"839","2339","2339","2339","0.4352339804172516","0.4352339804172516","0.4352339804172516"
"853","2378","2378","2378","0.43985849618911743","0.43985849618911743","0.43985849618911743"
"867","2417","2417","2417","0.43675723671913147","0.43675723671913147","0.43675723671913147"
"881","2456","2456","2456","0.3591614365577698","0.3591614365577698","0.3591614365577698"
"895","2495","2495","2495","0.4497927725315094","0.4497927725315094","0.4497927725315094"
"909","2534","2534","2534","0.4016929566860199","0.4016929566860199","0.4016929566860199"
"923","2573","2573","2573","0.419475793838501","0.419475793838501","0.419475793838501"
"937","2612","2612","2612","0.45136967301368713","0.45136967301368713","0.45136967301368713"
"951","2651","2651","2651","0.4319459795951843","0.4319459795951843","0.4319459795951843"
"965","2690","2690","2690","0.39995795488357544","0.39995795488357544","0.39995795488357544"
"979","2729","2729","2729","0.41969314217567444","0.41969314217567444","0.41969314217567444"
"993","2768","2768","2768","0.4174720346927643","0.4174720346927643","0.4174720346927643"
"1007","2807","2807","2807","0.44324707984924316","0.44324707984924316","0.44324707984924316"
"1021","2846","2846","2846","0.4424547553062439","0.4424547553062439","0.4424547553062439"
"1035","2885","2885","2885","0.406465619802475","0.406465619802475","0.406465619802475"
"1049","2924","2924","2924","0.41879481077194214","0.41879481077194214","0.41879481077194214"
"1063","2963","2963","2963","0.43792182207107544","0.43792182207107544","0.43792182207107544"
"1077","3002","3002","3002","0.416328102350235","0.416328102350235","0.416328102350235"
"1091","3041","3041","3041","0.43361955881118774","0.43361955881118774","0.43361955881118774"
"1105","3080","3080","3080","0.4603070318698883","0.4603070318698883","0.4603070318698883"
"1119","3119","3119","3119","0.45117926597595215","0.45117926597595215","0.45117926597595215"
"1133","3158","3158","3158","0.445902019739151","0.445902019739151","0.445902019739151"
"1147","3197","3197","3197","0.43093341588974","0.43093341588974","0.43093341588974"
"1161","3236","3236","3236","0.42424076795578003","0.42424076795578003","0.42424076795578003"
"1175","3275","3275","3275","0.4200615882873535","0.4200615882873535","0.4200615882873535"
"1189","3314","3314","3314","0.42987099289894104","0.42987099289894104","0.42987099289894104"
"1203","3353","3353","3353","0.430436372756958","0.430436372756958","0.430436372756958"
"1217","3392","3392","3392","0.42680272459983826","0.42680272459983826","0.42680272459983826"
"1231","3431","3431","3431","0.43923893570899963","0.43923893570899963","0.43923893570899963"
"1245","3470","3470","3470","0.4546455442905426","0.4546455442905426","0.4546455442905426"
"1259","3509","3509","3509","0.4492108225822449","0.4492108225822449","0.4492108225822449"
"1273","3548","3548","3548","0.45136600732803345","0.45136600732803345","0.45136600732803345"
"1287","3587","3587","3587","0.44230708479881287","0.44230708479881287","0.44230708479881287"
"1301","3626","3626","3626","0.4436591565608978","0.4436591565608978","0.4436591565608978"
"1315","3665","3665","3665","0.44322967529296875","0.44322967529296875","0.44322967529296875"
"1329","3704","3704","3704","0.4482555389404297","0.4482555389404297","0.4482555389404297"
"1343","3743","3743","3743","0.4466119706630707","0.4466119706630707","0.4466119706630707"
"1357","3782","3782","3782","0.44721531867980957","0.44721531867980957","0.44721531867980957"
"1371","3821","3821","3821","0.44901952147483826","0.44901952147483826","0.44901952147483826"
"1385","3860","3860","3860","0.4497293531894684","0.4497293531894684","0.4497293531894684"
"1399","3899","3899","3899","0.4483298361301422","0.4483298361301422","0.4483298361301422"
