"trainer/global_step","custom-generated - _step","custom-generated - _step__MIN","custom-generated - _step__MAX","custom-generated - val/total/m_iou","custom-generated - val/total/m_iou__MIN","custom-generated - val/total/m_iou__MAX"
"10","24","24","24","0.09710969030857086","0.09710969030857086","0.09710969030857086"
"21","49","49","49","0.09740832448005676","0.09740832448005676","0.09740832448005676"
"32","74","74","74","0.13697385787963867","0.13697385787963867","0.13697385787963867"
"43","99","99","99","0.23446989059448242","0.23446989059448242","0.23446989059448242"
"54","124","124","124","0.2767123281955719","0.2767123281955719","0.2767123281955719"
"65","149","149","149","0.3927052617073059","0.3927052617073059","0.3927052617073059"
"76","174","174","174","0.40535062551498413","0.40535062551498413","0.40535062551498413"
"87","199","199","199","0.37447232007980347","0.37447232007980347","0.37447232007980347"
"98","224","224","224","0.2787833511829376","0.2787833511829376","0.2787833511829376"
"109","249","249","249","0.3460911214351654","0.3460911214351654","0.3460911214351654"
"120","274","274","274","0.5243535041809082","0.5243535041809082","0.5243535041809082"
"131","299","299","299","0.36657848954200745","0.36657848954200745","0.36657848954200745"
"142","324","324","324","0.5417542457580566","0.5417542457580566","0.5417542457580566"
"153","349","349","349","0.5727871656417847","0.5727871656417847","0.5727871656417847"
"164","374","374","374","0.596330463886261","0.596330463886261","0.596330463886261"
"175","399","399","399","0.5806883573532104","0.5806883573532104","0.5806883573532104"
"186","424","424","424","0.5487338900566101","0.5487338900566101","0.5487338900566101"
"197","449","449","449","0.5373073816299438","0.5373073816299438","0.5373073816299438"
"208","474","474","474","0.4720562994480133","0.4720562994480133","0.4720562994480133"
"219","499","499","499","0.5669666528701782","0.5669666528701782","0.5669666528701782"
"230","524","524","524","0.5842283368110657","0.5842283368110657","0.5842283368110657"
"241","549","549","549","0.44270533323287964","0.44270533323287964","0.44270533323287964"
"252","574","574","574","0.45687827467918396","0.45687827467918396","0.45687827467918396"
"263","599","599","599","0.4463733732700348","0.4463733732700348","0.4463733732700348"
"274","624","624","624","0.4028943181037903","0.4028943181037903","0.4028943181037903"
"285","649","649","649","0.5714737772941589","0.5714737772941589","0.5714737772941589"
"296","674","674","674","0.5956449508666992","0.5956449508666992","0.5956449508666992"
"307","699","699","699","0.3644275963306427","0.3644275963306427","0.3644275963306427"
"318","724","724","724","0.37050095200538635","0.37050095200538635","0.37050095200538635"
"329","749","749","749","0.44297534227371216","0.44297534227371216","0.44297534227371216"
"340","774","774","774","0.43631500005722046","0.43631500005722046","0.43631500005722046"
"351","799","799","799","0.22101028263568878","0.22101028263568878","0.22101028263568878"
"362","824","824","824","0.371692419052124","0.371692419052124","0.371692419052124"
"373","849","849","849","0.4518358111381531","0.4518358111381531","0.4518358111381531"
"384","874","874","874","0.5098594427108765","0.5098594427108765","0.5098594427108765"
"395","899","899","899","0.4186592102050781","0.4186592102050781","0.4186592102050781"
"406","924","924","924","0.464091956615448","0.464091956615448","0.464091956615448"
"417","949","949","949","0.4931841790676117","0.4931841790676117","0.4931841790676117"
"428","974","974","974","0.3314134180545807","0.3314134180545807","0.3314134180545807"
"439","999","999","999","0.34941428899765015","0.34941428899765015","0.34941428899765015"
"450","1024","1024","1024","0.3607364296913147","0.3607364296913147","0.3607364296913147"
"461","1049","1049","1049","0.3737757205963135","0.3737757205963135","0.3737757205963135"
"472","1074","1074","1074","0.4387168288230896","0.4387168288230896","0.4387168288230896"
"483","1099","1099","1099","0.4650230407714844","0.4650230407714844","0.4650230407714844"
"494","1124","1124","1124","0.4036291241645813","0.4036291241645813","0.4036291241645813"
